,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test
0,compare_loss-13,True,True,False,False,False,4,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:46:54,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.7263931942230984,0.6827138715025789,1.1373283028433043,0.8664588237237041,0.8535429593679918,0.5134797974543952,0.7009153158242212,0.700243088806074,1.0325839717592094,0.6581673812540269,0.6148163061917228,1.3811839808358708
1,compare_loss-33,True,True,False,False,False,9,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:14:05,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.6900300370997858,0.6560385544131716,1.2428688110761446,0.8379462652033561,0.8034699989756264,0.7114258278595482,0.6350812134546663,0.6429868087031122,1.2060510845179984,0.6241661239305752,0.5948903636074241,1.4523101947475463
2,compare_loss-38,True,True,False,False,False,10,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:23:08,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.753640128898636,0.7129987719455784,1.0488521321548046,0.996536486476506,0.9960554212168128,0.014246998426581392,0.6186933170191584,0.6650645988626445,1.1810934325423297,0.6560268535326905,0.6160153072289403,1.3951137939454785
3,compare_loss-25,True,True,False,False,False,7,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:05:40,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.7018026942812267,0.6608441999442706,1.207323773100358,0.8752050984700276,0.873625144349047,0.44058791988962254,0.6939624040045943,0.6371644526835913,1.2082132437276596,0.6206276941033949,0.5845870194914802,1.4825191580245565
4,compare_loss-18,True,True,False,False,False,5,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:59:09,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.7801247622855301,0.7372270549261377,0.9628673974168036,0.9822823899770691,0.9773393861152846,0.08274505961810741,0.7774724424281799,0.734254510033228,0.916552924348033,0.6856679341673356,0.6481492127011962,1.282459836782274
5,compare_loss-7,True,True,False,False,False,2,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:37:05,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7697018833030332,0.7337065544603646,0.9747495448509733,0.9655354074741852,0.9567972822414148,0.1557036619107981,0.6915534436712476,0.6454972078750344,1.2400482388013514,0.6822940672283475,0.6600893015868113,1.2433866227747665
6,compare_loss-21,True,True,False,False,False,6,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:59:22,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.7273788064129502,0.6702720930180438,1.177596870745969,0.9173972112342489,0.8894288220991735,0.38645783814376866,0.6723240985888623,0.6297270243880737,1.2545912664615528,0.6416913847359569,0.5925426533310336,1.4608009230582075
7,compare_loss-4,True,True,False,False,False,2,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:34:58,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.5690873866293099,0.5265500862952207,1.5853149025077646,0.6782568209747107,0.6597227401306802,1.1131965321823154,0.5304146398680049,0.47481258444487395,1.6815313270285615,0.517223995935183,0.48121360422129855,1.7402352551767106
8,compare_loss-34,True,True,False,False,False,9,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:19:29,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.7836189365063787,0.74240044128802,0.9388337058762501,0.9704109927850446,0.9646917702337263,0.12821356342039847,0.7225717838699712,0.7073917104499109,0.9975197987407318,0.7019476474369077,0.6615718883171752,1.2280127152484406
9,compare_loss-11,True,True,False,False,False,3,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:41:42,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7689879323309856,0.7319839366267448,0.9788901527401048,0.9944288710827183,0.9924313205769313,0.027380991264428278,0.7091171481929334,0.7264512601798575,0.9701550428163528,0.6722910735778197,0.6361495497747076,1.3194949419322048
