,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test
0,compare_residual-21,True,True,False,False,False,6,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:48:43,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7425936326086211,0.7096056981727852,1.064349430577801,0.9615189411910107,0.9469936284584533,0.18994659958449622,0.6755911183896193,0.6542433052727956,1.1913492028251929,0.6460214899458261,0.6279056003361766,1.3692673884704232
1,compare_residual-25,True,True,False,False,False,7,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:50:38,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7562388097530208,0.721197636384894,1.0184574216533528,0.9203931190107468,0.9094147393461859,0.32703610730144117,0.7222939882049999,0.6997940544086997,1.021166144773233,0.6820901479269419,0.651527647631253,1.2719752243882776
2,compare_residual-2,True,True,False,False,False,1,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:37:49,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7453579228869395,0.7110168955676865,1.05948671450289,0.9764313744462696,0.9648969718902274,0.12641161974543946,0.6710583030647336,0.674295610752687,1.110260730679995,0.6401582853888357,0.6203590925596841,1.3951319713165575
3,compare_residual-35,True,True,False,False,False,9,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:55:17,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7487587574245299,0.7104564488598714,1.0571914470116255,0.946347628911534,0.9394231866085878,0.22020606675496213,0.6524023748557591,0.636791507183477,1.242318930434402,0.6659649485036686,0.6294080453174935,1.347743914146454
4,compare_residual-38,True,True,False,False,False,10,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:58:11,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7494431362719186,0.7109405173532333,1.0570027764032512,0.99308460555107,0.9929975814347429,0.025298397901264202,0.624954793984826,0.6568976874003507,1.2120887666021196,0.650282214694388,0.614855323913213,1.4005607145570997
5,compare_residual-13,True,True,False,False,False,4,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:43:17,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7658870498497778,0.7213841564192555,1.0191635546461129,0.844148588560236,0.8008934480641944,0.7176383634895278,0.7744138507904825,0.7799218074718118,0.7734176966717561,0.7241584892772984,0.6870132542207791,1.1424101754457543
6,compare_residual-14,True,True,False,False,False,4,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:43:48,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7847682676462504,0.7444054988462862,0.9352928048694862,0.9514188011589014,0.9383910683787235,0.22185810892740498,0.7592855927208998,0.7525229518070241,0.8674306713036994,0.7044198508935475,0.6703040089449521,1.204493685539925
7,compare_residual-1,True,True,False,False,False,1,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:38:53,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.744160572326939,0.7092379619465891,1.0676650558215974,0.9828914792365576,0.9717458484084175,0.10176562167747383,0.7061913088759076,0.7053699207125592,1.006122899553707,0.6319807729222613,0.6134043110022452,1.424004224459463
8,compare_residual-24,True,True,False,False,False,7,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:50:52,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7799899757124478,0.7438202267910657,0.9374516329936635,0.9740501867859265,0.9676196698926999,0.11698741366447685,0.7352602326227502,0.6916181650315134,1.0499767918701468,0.6933894290719964,0.6657604154876581,1.2226551666934173
9,compare_residual-29,True,True,False,False,False,8,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:52:29,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7464065095172278,0.7176572224605552,1.0351565070066484,0.9597655772237018,0.9469383577966262,0.19333990874859186,0.6878099667838721,0.6819869627657505,1.0964849682376343,0.6513507594694499,0.6328958045734029,1.3420983167466245
