,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius,sparsemax
0,hyper1-1217,True,True,False,False,False,4,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 09:28:13,0.32,0.08,0.6,nll,all,50,30,50,2,1.0,0.0,False,True,1433,7,0.7741266280386437,0.7333699853744493,0.9778913425523288,0.9555795803532249,0.9415224781435669,0.21079458910130056,0.7669946194777068,0.7694586930933431,0.8090468337208443,0.683950166017804,0.6506545791731498,1.2804497729238005,,False
1,hyper1-1112,True,True,False,False,False,4,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 08:46:26,0.32,0.08,0.6,nll,all,50,30,100,3,3.0,0.0,False,False,1433,7,0.7565796699124752,0.7225752757713506,1.0170170212791074,0.902110310457925,0.8769261365321863,0.44374011144048,0.7487310900025201,0.7497364631473299,0.878808398002147,0.683542861011498,0.6601127789593756,1.2449783292238488,,False
2,hyper1-242,True,True,False,False,False,1,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-14 02:44:18,0.32,0.08,0.6,nll,all,50,30,100,3,1.0,0.0,True,False,2708,7,0.7105824493978612,0.6792067737619586,1.1801572267565361,0.9751379642395201,0.9592741576471306,0.14675906828412488,0.7235462168694223,0.701535630996789,1.0219257450066954,0.5814696344857185,0.5746761160142686,1.570384629687724,,False
3,hyper1-1097,True,True,False,False,False,4,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 08:38:21,0.32,0.08,0.6,nll,all,50,30,100,2,3.0,0.0,False,True,1433,7,0.7676506770071808,0.7364483274221482,0.962779250614568,0.8857579662043884,0.8827873058095154,0.4232859695213005,0.7514800332946081,0.7687934248499907,0.809287254589333,0.709445359656164,0.6757721720773401,1.1801067095231117,,False
4,hyper1-545,True,True,False,False,False,2,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-14 04:45:57,0.32,0.08,0.6,nll,all,50,30,100,2,1.0,0.0,False,True,2708,7,0.6823932401335208,0.6470149057340047,1.3027407657845442,1.0,1.0,0.0,0.579783979240648,0.5489556961160734,1.5893931822845837,0.5458436384126818,0.5345312185037202,1.7227694777519247,,False
5,hyper1-942,True,True,False,False,False,3,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 07:38:53,0.32,0.08,0.6,nll,all,50,30,100,2,3.0,0.2,True,False,1433,7,0.7583113606427019,0.7195677509343439,1.0272214010144758,0.9067803484163236,0.8915005938259795,0.3939609877866035,0.7533167090761174,0.7537829426763621,0.8746137016592503,0.6872709926616047,0.6447921357583389,1.2920690922935631,,False
6,hyper1-1007,True,True,False,False,False,4,1,0.01,0.0,GAT_Net_fast,node_id,False,2020-01-14 07:59:20,0.32,0.08,0.6,nll,all,50,30,50,2,3.0,0.2,True,True,2708,7,0.7064614972977775,0.6714201987011076,1.2049531402801916,0.9411474241827789,0.9301513185916941,0.2515909698940497,0.589118649084767,0.6314683280951566,1.301097180136471,0.6071891080297173,0.5774774072580068,1.5474599910328632,,False
7,hyper1-397,True,True,False,False,False,2,1,0.01,0.0,GAT_Net_fast,node_id,False,2020-01-14 03:48:03,0.32,0.08,0.6,nll,all,50,30,100,2,3.0,0.2,False,True,2708,7,0.6806788445589285,0.6536065748846018,1.2671580870157615,0.9977519348249495,0.996273008138646,0.013418750372763633,0.5528293412336671,0.5549502175460895,1.5532030337217866,0.5509153620910745,0.5471866635934765,1.655582861780803,,False
8,hyper1-98,True,True,False,False,False,1,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 01:50:19,0.32,0.08,0.6,nll,all,50,30,50,2,1.0,0.0,True,False,1433,7,0.6982546188333265,0.6583381926244345,1.2492205328656731,0.8541583474172257,0.8216854461561643,0.6426085278047857,0.7099581901047647,0.6747191214746189,1.0957863591934824,0.6162435018316834,0.5896098979365555,1.5020240179050246,,False
9,hyper1-65,True,True,False,False,False,1,1,0.01,0.0,GAT_Net_fast,node_id,False,2020-01-14 01:31:38,0.32,0.08,0.6,nll,all,50,30,100,2,1.0,0.0,False,True,2708,7,0.6765250892784869,0.6421180962036226,1.3134166729118961,1.0,1.0,0.0,0.6156987284000142,0.6187820732226137,1.2872007268924737,0.5323256551838452,0.5179175597704094,1.7755645904194077,,False
