,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius
0,opti_keywords-412,True,True,True,True,False,7,3,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 21:47:52,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7681188622973845,0.730716823769615,0.9829732678924374,0.937218514005964,0.9223773245794831,0.280089404680111,0.7823722321497254,0.735073766929779,0.8948400563926819,0.6861002676443952,0.6568397109203059,1.2523083077978363,
1,opti_keywords-145,True,True,True,True,False,3,4,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 19:16:50,0.08,0.02,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.634750152648067,0.612166061770081,1.415035002782214,0.9736380982488625,0.9654710918734662,0.11931277494320192,0.6129983219193614,0.6683355587319237,0.9379130295255242,0.613958746756844,0.58684383941823,1.4954169225657696,
2,opti_keywords-251,True,True,True,True,False,5,4,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 20:16:03,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.39456762155626063,0.4635988414633905,1.8504322583013773,0.9789108319600144,0.9794934911186088,0.06494000394672739,0.36269881618127675,0.4019227132408298,1.3118307095083344,0.3803187917728797,0.4542914022213742,1.86836407520351,2.0
3,opti_keywords_gcn-103,True,True,True,True,False,6,4,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:35:28,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.42850849556325715,0.443736512467031,1.9103344835159102,0.9174774647331746,0.9067501016555092,0.29432793471622887,0.41732760665068114,0.49312303253454853,1.136185995957875,0.4081387485266155,0.4247151751709996,1.9826476869980167,
4,opti_keywords-305,True,True,True,True,False,6,2,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 20:47:11,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.3487254409620937,0.42136033595301675,1.9011131833502253,0.7176876344993839,0.7846772006009493,0.6592315099232366,0.3852299719283092,0.4955635950975153,1.1074482299215687,0.3224743371868148,0.39844889128166766,1.9849693153529895,2.0
5,opti_keywords-377,True,True,True,True,False,7,1,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 21:28:04,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5247860340864332,0.5461880448641453,1.6004646866582344,0.9493020714321196,0.9488906330875695,0.17015871215560452,0.629694464063908,0.6087460235312668,1.0691777742694102,0.5124883042548217,0.5386886610904204,1.625479554089325,2.0
7,opti_keywords-559,True,True,True,True,False,10,2,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 23:11:59,0.08,0.02,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.592631972274332,0.5994155229706558,1.4681231391526035,1.0,1.0,0.0,0.5274521973693633,0.6026869584937712,1.1800767428809387,0.5722460673108033,0.5838299410230305,1.514314915119364,
9,opti_keywords-520,True,True,True,True,False,9,4,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 22:53:11,0.16,0.04,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.6720737536236064,0.6445180464057565,1.3038552246641446,0.9848706049078773,0.9801828952805519,0.07146549442924188,0.5971383535821627,0.6165392641264116,1.2500370759390682,0.6279786315234503,0.5965886682479116,1.4737321050179775,
11,opti_keywords-203,True,True,True,True,False,4,3,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 19:50:51,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5319659409361748,0.5265261115862845,1.6934945550864104,0.9795964318432187,0.9763234437797745,0.08289034078232316,0.6858658019507963,0.633589906839395,1.0444433513898002,0.5009727063671788,0.49629863921645073,1.7956900705909788,2.0
13,opti_keywords-74,True,True,True,True,False,2,5,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 18:36:32,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4962634677865446,0.49345152911575113,1.8188860096975004,1.0,1.0,0.0,0.8669320443559853,0.8918578485407319,0.2304374555133517,0.4879879452085528,0.48667024275045223,1.839126432279551,2.0
