,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,dropout,batchnorm,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,num_heads,residual,radius
0,opti_nodeids-561,True,True,True,True,False,10,3,0.01,0.01,GCN_Net,node_id,False,2020-01-20 23:53:53,0.08,0.02,0.6,nll,all,150,80,100,1,0.2,False,2708,7,0.4619709220537649,0.4598440649244795,1.851695302397819,0.8709205396667759,0.8938764173882733,0.35557375889472276,0.34262031086722766,0.4816418959253336,1.4907440330019504,0.43056861062306095,0.4338467006975081,1.9178724605221902,,,
1,opti_nodeids-295,True,True,True,True,False,5,4,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 13:26:02,0.32,0.08,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.6834965602470695,0.6471666419839378,1.2923207820462435,0.9821532430783485,0.9750334022819674,0.09102748896833512,0.6940611571670319,0.6974660952835483,1.0430906156302324,0.5465797746056406,0.5198883509395388,1.7502978277258285,3.0,False,
2,opti_nodeids-483,True,True,True,True,False,9,2,0.01,0.01,GCN_Net,node_id,False,2020-01-20 20:49:34,0.04,0.01,0.6,nll,all,150,80,100,1,0.2,False,2708,7,0.33171976691908706,0.4215247205938553,1.9498894480477986,1.0,1.0,0.0,0.40609137055837563,0.4403729747534288,1.2503853574057802,0.30992057023739755,0.412060171150839,1.9544534295498543,,,
3,opti_nodeids-217,True,True,True,True,False,4,3,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 10:29:44,0.16,0.04,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.5954101106805212,0.5781433892048402,1.545046990216953,0.992081974863272,0.9873798584201591,0.04546764395259606,0.5054582213705783,0.545670293250418,1.4507023747006231,0.5221699776209534,0.518167530671091,1.7607698229598183,3.0,False,
4,opti_nodeids-29,True,True,True,True,False,1,5,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 02:24:36,0.08,0.02,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.27024420851841513,0.3281734433895042,2.2301190961697452,0.9608595734018666,0.9554398593077128,0.15088527810859897,0.46401109271790686,0.42785802111123084,1.537778631724203,0.2151583627858377,0.27730972745018584,2.377817516131092,,,2.0
5,opti_nodeids-146,True,True,True,True,False,3,4,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 07:24:25,0.08,0.02,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.21633764470536984,0.35639905362914076,1.962565139252769,0.3752071516745601,0.5300768855120078,1.4167046183629763,0.30999347246352726,0.45650125544650355,1.3086488864092551,0.20762493202622484,0.34132471490676325,1.9823924354460212,,,2.0
6,opti_nodeids-225,True,True,True,True,False,4,1,0.01,0.01,GCN_Net,node_id,False,2020-01-20 10:36:57,0.32,0.08,0.6,nll,all,150,80,100,1,0.2,False,2708,7,0.6961676470875651,0.6652758958630955,1.2102741828962515,0.9183239879005888,0.895986870293056,0.37394121070210584,0.6303215588947144,0.647316341294644,1.2130009570409448,0.5987140683270211,0.576391852734003,1.5214859286976137,,,
7,opti_nodeids-496,True,True,True,True,False,9,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 21:41:06,0.08,0.02,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.47315824568108694,0.4994387441097367,1.8206223407166804,1.0,1.0,0.0,0.6628660109943533,0.7018321168938279,0.8707770161941983,0.434429757429138,0.46845176409097083,1.9223486466061317,3.0,False,
8,opti_nodeids-535,True,True,True,True,False,9,4,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 22:59:09,0.32,0.08,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.7210810147650067,0.6831961878047683,1.1536914254508641,0.9670569200929812,0.9564912578813737,0.1580006552662958,0.6697069645358043,0.62819496167509,1.2666338677412434,0.6125810387651238,0.5852912625336677,1.502824749341816,3.0,False,
9,opti_nodeids-179,True,True,True,True,False,3,5,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 09:01:02,0.32,0.08,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.566433580830103,0.5821682838515747,1.4753179412752977,0.9872847572932592,0.980256795422801,0.07139723556456712,0.44994873931468854,0.5147626532459857,1.6203670394960763,0.4113035918007538,0.4435948518617867,1.9103218737444645,,,2.0
